Song,Artist,Country,Year,Language,Grand Final Place,Grand Final Points,Semifinal,Semifinal Place,Semifinal Points
Nauravat silmät muistetaan,Boulevard,Finland,1988,Finnish,20,3,No Semifinal,N/A,N/A
Lisa Mona Lisa,Wilfried,Austria,1988,German,21,0,No Semifinal,N/A,N/A
Rock Me,Riva,Yugoslavia,1989,Serbo-Croatian,1,137,No Semifinal,N/A,N/A
Why Do I Always Get it Wrong?,Live Report,United Kingdom,1989,English,2,130,No Semifinal,N/A,N/A
Vi maler byen rød,Birthe Kjær,Denmark,1989,Danish,3,111,No Semifinal,N/A,N/A
En dag,Tommy Nilsson,Sweden,1989,Swedish,4,110,No Semifinal,N/A,N/A
Nur ein Lied,Thomas Forstner,Austria,1989,German,5,97,No Semifinal,N/A,N/A
Nacida para amar,Nina,Spain,1989,Spanish,6,88,No Semifinal,N/A,N/A
La dolce vita,Anneli Saaristo,Finland,1989,Finnish,7,76,No Semifinal,N/A,N/A
J'ai volé la vie,Nathalie Pâque,France,1989,French,8,60,No Semifinal,N/A,N/A
Avrei voluto,Anna Oxa & Fausto Leali,Italy,1989,Italian,9,56,No Semifinal,N/A,N/A
To diko sou asteri (Το δικό σου αστέρι),Marianna Efstratiou,Greece,1989,Greek,9,56,No Semifinal,N/A,N/A
Apopse as vrethume (Απόψε ας βρεθούμε),Fani Polymeri & Yiannis Savvidakis,Cyprus,1989,Greek,11,51,No Semifinal,N/A,N/A
Derekh Hamelekh (דרך המלך),Gili Netanel & Galit Burg-Michael,Israel,1989,Hebrew,12,50,No Semifinal,N/A,N/A
Viver senza tei,Furbaz,Switzerland,1989,Romansh,13,47,No Semifinal,N/A,N/A
Flieger,Nino de Angelo,Germany,1989,German,14,46,No Semifinal,N/A,N/A
Blijf zoals je bent,Justine Pelmelay,Netherlands,1989,Dutch,15,45,No Semifinal,N/A,N/A
Conquistador,Da Vinci,Portugal,1989,Portuguese,16,39,No Semifinal,N/A,N/A
Venners nærhet,Britt Synnøve Johansen,Norway,1989,Norwegian,17,30,No Semifinal,N/A,N/A
The Real Me,Kiev Connolly & The Missing Passengers,Ireland,1989,English,18,21,No Semifinal,N/A,N/A
Door de wind,Ingeborg,Belgium,1989,Dutch,19,13,No Semifinal,N/A,N/A
Monsieur,Park Café,Luxembourg,1989,French,20,8,No Semifinal,N/A,N/A
Bana Bana,Pan,Turkey,1989,Turkish,21,5,No Semifinal,N/A,N/A
Það sem enginn sér,Daníel Ágúst Haraldsson,Iceland,1989,Icelandic,22,0,No Semifinal,N/A,N/A
Insieme: 1992,Toto Cutugno,Italy,1990,Italian,1,149,No Semifinal,N/A,N/A
Somewhere in Europe,Liam Reilly,Ireland,1990,English,2,132,No Semifinal,N/A,N/A
White and Black Blues,Joëlle Ursull,France,1990,French,2,132,No Semifinal,N/A,N/A
Eitt lag enn,Stjórnin,Iceland,1990,Icelandic,4,124,No Semifinal,N/A,N/A
Bandido,Azúcar Moreno,Spain,1990,Spanish,5,96,No Semifinal,N/A,N/A
Give a Little Love Back to the World,Emma,United Kingdom,1990,English,6,87,No Semifinal,N/A,N/A
Hajde da ludujemo,Tajči,Yugoslavia,1990,Serbo-Croatian,7,81,No Semifinal,N/A,N/A
Hallo Hallo,Lonnie Devantier,Denmark,1990,Danish,8,64,No Semifinal,N/A,N/A
Frei zu leben,Chris Kempers & Daniel Kovac,Germany,1990,German,9,60,No Semifinal,N/A,N/A
Keine Mauern mehr,Simone,Austria,1990,German,10,58,No Semifinal,N/A,N/A
Musik klingt in die Welt hinaus,Egon Egemann,Switzerland,1990,German,11,51,No Semifinal,N/A,N/A
Macédomienne,Philippe Lafontaine,Belgium,1990,French,12,46,No Semifinal,N/A,N/A
Quand je te rêve,Céline Carzo,Luxembourg,1990,French,13,38,No Semifinal,N/A,N/A
Milas poli (Μιλάς πολύ),Haris Anastasiou,Cyprus,1990,Greek,14,36,No Semifinal,N/A,N/A
Ik wil alles met je delen,Maywood,Netherlands,1990,Dutch,15,25,No Semifinal,N/A,N/A
Som en vind,Edin-Ådahl,Sweden,1990,Swedish,16,24,No Semifinal,N/A,N/A
Gözlerinin Hapsindeyim,Kayahan,Turkey,1990,Turkish,17,21,No Semifinal,N/A,N/A
Shara Barkhovot (שרה ברחובות),Rita,Israel,1990,Hebrew,18,16,No Semifinal,N/A,N/A
Horis skopo (Χωρίς σκοπό),Christos Callow & Wave,Greece,1990,Greek,19,11,No Semifinal,N/A,N/A
Há sempre alguém,Nucha,Portugal,1990,Portuguese,20,9,No Semifinal,N/A,N/A
Brandenburger Tor,Ketil Stokkan,Norway,1990,Norwegian,21,8,No Semifinal,N/A,N/A
Fri?,Beat,Finland,1990,Swedish,21,8,No Semifinal,N/A,N/A
Fångad av en stormvind,Carola,Sweden,1991,Swedish,1,146,No Semifinal,N/A,N/A
C'est le dernier qui a parlé qui a raison,Amina,France,1991,French,2,146,No Semifinal,N/A,N/A
Kan (כאן),Duo Datz,Israel,1991,Hebrew,3,139,No Semifinal,N/A,N/A
Bailar pegados,Sergio Dalma,Spain,1991,Spanish,4,119,No Semifinal,N/A,N/A
Canzone per te,Sandra Simó,Switzerland,1991,Italian,5,118,No Semifinal,N/A,N/A
Could It Be,Georgina & Paul Giordimaina,Malta,1991,English,6,106,No Semifinal,N/A,N/A
Comme è ddoce 'o mare,Peppino di Capri,Italy,1991,Neapolitan,7,89,No Semifinal,N/A,N/A
Lusitana paixão,Dulce Pontes,Portugal,1991,Portuguese,8,62,No Semifinal,N/A,N/A
SOS,Elena Patroklou,Cyprus,1991,Greek,9,60,No Semifinal,N/A,N/A
A Message to Your Heart,Samantha Janus,United Kingdom,1991,English,10,47,No Semifinal,N/A,N/A
Could It Be That I'm In Love,Kim Jackson,Ireland,1991,English,10,47,No Semifinal,N/A,N/A
İki Dakika,"İzel Çeliköz, Reyhan Karaca & Can Uğurluer",Turkey,1991,Turkish,12,44,No Semifinal,N/A,N/A
I anixi(Η άνοιξη),Sophia Vossou,Greece,1991,Greek,13,36,No Semifinal,N/A,N/A
Un baiser volé,Sarah Bray,Luxembourg,1991,French,14,29,No Semifinal,N/A,N/A
Nína,Stefán & Eyfi,Iceland,1991,Icelandic,15,26,No Semifinal,N/A,N/A
Geef het op,Clouseau,Belgium,1991,Dutch,16,23,No Semifinal,N/A,N/A
Mrs. Thompson,Just 4 Fun,Norway,1991,Norwegian,17,14,No Semifinal,N/A,N/A
Dieser Traum darf niemals sterben,Atlantis 2000,Germany,1991,German,18,10,No Semifinal,N/A,N/A
Lige der hvor hjertet slår,Anders Frandsen,Denmark,1991,Danish,19,8,No Semifinal,N/A,N/A
Hullu yö,Kaija Kärkinen,Finland,1991,Finnish,20,6,No Semifinal,N/A,N/A
Brazil (Бразил),Baby Doll,Yugoslavia,1991,Serbo-Croatian,21,1,No Semifinal,N/A,N/A
Venedig im Regen,Thomas Forstner,Austria,1991,German,22,0,No Semifinal,N/A,N/A
Why Me?,Linda Martin,Ireland,1992,English,1,155,No Semifinal,N/A,N/A
One Step Out of Time,Michael Ball,United Kingdom,1992,English,2,139,No Semifinal,N/A,N/A
Little Child,Mary Spiteri,Malta,1992,English,3,123,No Semifinal,N/A,N/A
Rapsodia,Mia Martini,Italy,1992,Italian,4,111,No Semifinal,N/A,N/A
Olou tou kosmou i Elpida (Όλου του κόσμου η Ελπίδα),Cleopatra,Greece,1992,Greek,5,94,No Semifinal,N/A,N/A
Ze Rak Sport (זה רק ספורט),Dafna Dekel,Israel,1992,Hebrew,6,85,No Semifinal,N/A,N/A
Nei eða já,Heart 2 Heart,Iceland,1992,Icelandic,7,80,No Semifinal,N/A,N/A
Monté la riviè,Kali,France,1992,"French, Antillean Creole",8,73,No Semifinal,N/A,N/A
Wijs me de weg,Humphrey Campbell,Netherlands,1992,Dutch,9,67,No Semifinal,N/A,N/A
Zusammen geh'n,Tony Wegas,Austria,1992,German,10,63,No Semifinal,N/A,N/A
Teriazoume (Ταιριάζουμε),Evridiki,Cyprus,1992,Greek,11,57,No Semifinal,N/A,N/A
Alt det som ingen ser,Kenny Lübcke & Lotte Nilsson,Denmark,1992,Danish,12,47,No Semifinal,N/A,N/A
Ljubim te pesmama (Љубим те песмама),Extra Nena,FR Yugoslavia,1992,Serbo-Croatian,13,44,No Semifinal,N/A,N/A
Todo esto es la música,Serafín,Spain,1992,Spanish,14,37,No Semifinal,N/A,N/A
Mister Music Man,Daisy Auvray,Switzerland,1992,French,15,32,No Semifinal,N/A,N/A
Träume sind für alle da,Wind,Germany,1992,German,16,27,No Semifinal,N/A,N/A
Amor d'água fresca,Dina,Portugal,1992,Portuguese,17,26,No Semifinal,N/A,N/A
Visjoner,Merethe Trøan,Norway,1992,Norwegian,18,23,No Semifinal,N/A,N/A
Yaz Bitti,Aylin Vatankoş,Turkey,1992,Turkish,19,17,No Semifinal,N/A,N/A
"Nous, on veut des violons",Morgane,Belgium,1992,French,20,11,No Semifinal,N/A,N/A
Sou fräi,Marion Welter & Kontinent,Luxembourg,1992,Luxembourgish,21,10,No Semifinal,N/A,N/A
I morgon är en annan dag,Christer Björkman,Sweden,1992,Swedish,22,9,No Semifinal,N/A,N/A
"Yamma, yamma",Pave Maijanen,Finland,1992,Finnish,23,4,No Semifinal,N/A,N/A
In Your Eyes,Niamh Kavanagh,Ireland,1993,English,1,187,No Semifinal,N/A,N/A
Better the Devil You Know,Sonia,United Kingdom,1993,English,2,164,No Semifinal,N/A,N/A
"Moi, tout simplement",Annie Cotton,Switzerland,1993,French,3,148,No Semifinal,N/A,N/A
Mama Corsica,Patrick Fiori,France,1993,"French, Corsican",4,121,No Semifinal,N/A,N/A
Alle mine tankar,Silje Vige,Norway,1993,Norwegian,5,120,No Semifinal,N/A,N/A
Vrede,Ruth Jacott,Netherlands,1993,Dutch,6,92,No Semifinal,N/A,N/A
Eloise,Arvingarna,Sweden,1993,Swedish,7,89,No Semifinal,N/A,N/A
This Time,William Mangion,Malta,1993,English,8,69,No Semifinal,N/A,N/A
"Ellada, hora tou fotos (Ελλάδα, χώρα του φωτός)",Katerina Garbi,Greece,1993,Greek,9,64,No Semifinal,N/A,N/A
A cidade (até ser dia),Anabela,Portugal,1993,Portuguese,10,60,No Semifinal,N/A,N/A
Hombres,Eva Santamaría,Spain,1993,Spanish,11,58,No Semifinal,N/A,N/A
Sole d'Europa,Enrico Ruggeri,Italy,1993,Italian,12,45,No Semifinal,N/A,N/A
Þá veistu svarið,Inga,Iceland,1993,Icelandic,13,42,No Semifinal,N/A,N/A
Maria Magdalena,Tony Wegas,Austria,1993,German,14,32,No Semifinal,N/A,N/A
Don't Ever Cry,Put,Croatia,1993,"Croatian, English",15,31,No Semifinal,N/A,N/A
Sva bol svijeta,Fazla,Bosnia and Herzegovina,1993,Serbo-Croatian,16,27,No Semifinal,N/A,N/A
Tule luo,Katri Helena,Finland,1993,Finnish,17,20,No Semifinal,N/A,N/A
Viel zu weit,Münchener Freiheit,Germany,1993,German,18,18,No Semifinal,N/A,N/A
Mi stamatas (Μη σταματάς),Zimboulakis & Van Beke,Cyprus,1993,Greek,19,17,No Semifinal,N/A,N/A
Donne-moi une chance,Modern Times,Luxembourg,1993,"French, Luxembourgish",20,11,No Semifinal,N/A,N/A
Esmer Yarim,Burak Aydos,Turkey,1993,Turkish,21,10,No Semifinal,N/A,N/A
Tih deževen dan,1X Band,Slovenia,1993,Slovene,22,9,No Semifinal,N/A,N/A
Under stjernerne på himlen,Tommy Seebach Band,Denmark,1993,Danish,22,9,No Semifinal,N/A,N/A
Shiru (שירו),Lahakat Shiru,Israel,1993,"Hebrew, English",24,4,No Semifinal,N/A,N/A
Iemand als jij,Barbara Dex,Belgium,1993,Dutch,25,3,No Semifinal,N/A,N/A
Rock 'n' Roll Kids,Paul Harrington & Charlie McGettigan,Ireland,1994,English,1,226,No Semifinal,N/A,N/A
To nie ja!,Edyta Górniak,Poland,1994,Polish,2,166,No Semifinal,N/A,N/A
Wir geben 'ne Party,MeKaDo,Germany,1994,German,3,128,No Semifinal,N/A,N/A
Kinek mondjam el vétkeimet?,Friderika Bayer,Hungary,1994,Hungarian,4,122,No Semifinal,N/A,N/A
More than Love,Chris and Moira,Malta,1994,English,5,97,No Semifinal,N/A,N/A
Duett,Elisabeth Andreassen & Jan Werner Danielsen,Norway,1994,Norwegian,6,76,No Semifinal,N/A,N/A
Je suis un vrai garçon,Nina Morato,France,1994,French,7,74,No Semifinal,N/A,N/A
Chamar a música,Sara Tavares,Portugal,1994,Portuguese,8,73,No Semifinal,N/A,N/A
Vechny strannik (Вечный странник),Youddiph,Russia,1994,Russian,9,70,No Semifinal,N/A,N/A
We Will Be Free (Lonely Symphony),Frances Ruffelle,United Kingdom,1994,English,10,63,No Semifinal,N/A,N/A
Ime anthropos ki ego (Είμαι άνθρωπος κι εγώ),Evridiki,Cyprus,1994,Greek,11,51,No Semifinal,N/A,N/A
Nætur,Sigga,Iceland,1994,Icelandic,12,49,No Semifinal,N/A,N/A
Stjärnorna,Marie Bergman & Roger Pontare,Sweden,1994,Swedish,13,48,No Semifinal,N/A,N/A
To trehandiri (Το τρεχαντήρι),Kostas Bigalis & The Sea Lovers,Greece,1994,Greek,14,44,No Semifinal,N/A,N/A
Ostani kraj mene,Alma & Dejan,Bosnia and Herzegovina,1994,Bosnian,15,39,No Semifinal,N/A,N/A
Nek' ti bude ljubav sva,Tony Cetinski,Croatia,1994,Croatian,16,27,No Semifinal,N/A,N/A
Für den Frieden der Welt,Petra Frey,Austria,1994,German,17,19,No Semifinal,N/A,N/A
Ella no es ella,Alejandro Abad,Spain,1994,Spanish,18,17,No Semifinal,N/A,N/A
Nekonečná pieseň,Tublatanka,Slovakia,1994,Slovak,19,15,No Semifinal,N/A,N/A
Sto pregando,Duilio,Switzerland,1994,Italian,19,15,No Semifinal,N/A,N/A
Dincolo de nori,Dan Bittman,Romania,1994,Romanian,21,14,No Semifinal,N/A,N/A
Bye Bye Baby,CatCat,Finland,1994,"Finnish, English",22,11,No Semifinal,N/A,N/A
Waar is de zon,Willeke Alberti,Netherlands,1994,Dutch,23,4,No Semifinal,N/A,N/A
Nagu merelaine,Silvi Vrait,Estonia,1994,Estonian,24,2,No Semifinal,N/A,N/A
Lopšinė mylimai,Ovidijus Vyšniauskas,Lithuania,1994,Lithuanian,25,0,No Semifinal,N/A,N/A
Nocturne,Secret Garden,Norway,1995,Norwegian,1,148,No Semifinal,N/A,N/A
Vuelve conmigo,Anabel Conde,Spain,1995,Spanish,2,119,No Semifinal,N/A,N/A
Se på mig,Jan Johansen,Sweden,1995,Swedish,3,100,No Semifinal,N/A,N/A
Il me donne rendez-vous,Nathalie Santamaria,France,1995,French,4,94,No Semifinal,N/A,N/A
Fra Mols til Skagen,Aud Wilken,Denmark,1995,Danish,5,92,No Semifinal,N/A,N/A
Nostalgija,Magazin & Lidija,Croatia,1995,Croatian,6,91,No Semifinal,N/A,N/A
Prisluhni mi,Darja Švajger,Slovenia,1995,Slovene,7,84,No Semifinal,N/A,N/A
Amen (אמן),Liora,Israel,1995,Hebrew,8,81,No Semifinal,N/A,N/A
Sti fotia (Στη φωτιά),Alexandros Panayi,Cyprus,1995,Greek,9,79,No Semifinal,N/A,N/A
Keep Me In Mind,Mike Spiteri,Malta,1995,English,10,76,No Semifinal,N/A,N/A
Love City Groove,Love City Groove,United Kingdom,1995,English,10,76,No Semifinal,N/A,N/A
Pia prosefhi (Ποια προσευχή),Elina Konstantopoulou,Greece,1995,Greek,12,68,No Semifinal,N/A,N/A
Die Welt dreht sich verkehrt,Stella Jones,Austria,1995,German,13,67,No Semifinal,N/A,N/A
Dreamin',Eddie Friel,Ireland,1995,English,14,44,No Semifinal,N/A,N/A
Núna,Bo Halldórsson,Iceland,1995,Icelandic,15,31,No Semifinal,N/A,N/A
Sev,Arzu Ece,Turkey,1995,Turkish,16,21,No Semifinal,N/A,N/A
Kolybelnaya dlya vulkana (Колыбельная для вулкана),Philipp Kirkorov,Russia,1995,Russian,17,17,No Semifinal,N/A,N/A
Sama,Justyna,Poland,1995,Polish,18,15,No Semifinal,N/A,N/A
Dvadeset prvi vijek,Davorin Popović,Bosnia and Herzegovina,1995,Bosnian,19,14,No Semifinal,N/A,N/A
La voix est libre,Frédéric Etherlinck,Belgium,1995,French,20,8,No Semifinal,N/A,N/A
Baunilha e chocolate,Tó Cruz,Portugal,1995,Portuguese,21,5,No Semifinal,N/A,N/A
Új név a régi ház falán,Csaba Szigeti,Hungary,1995,Hungarian,22,3,No Semifinal,N/A,N/A
Verliebt in Dich,Stone & Stone,Germany,1995,German,23,1,No Semifinal,N/A,N/A
The Voice,Eimear Quinn,Ireland,1996,English,1,162,No Semifinal,N/A,N/A
I evighet,Elisabeth Andreassen,Norway,1996,Norwegian,2,114,No Semifinal,N/A,N/A
Den vilda,One More Time,Sweden,1996,Swedish,3,100,No Semifinal,N/A,N/A
Sveta ljubav,Maja Blagdan,Croatia,1996,Croatian,4,98,No Semifinal,N/A,N/A
Kaelakee hääl,Maarja-Liis Ilus & Ivo Linna,Estonia,1996,Estonian,5,94,No Semifinal,N/A,N/A
O meu coração não tem cor,Lúcia Moniz,Portugal,1996,Portuguese,6,92,No Semifinal,N/A,N/A
De eerste keer,Maxine & Franklin Brown,Netherlands,1996,Dutch,7,78,No Semifinal,N/A,N/A
Ooh Aah... Just a Little Bit,Gina G,United Kingdom,1996,English,8,77,No Semifinal,N/A,N/A
Mono gia mas (Μόνο για μας),Constantinos,Cyprus,1996,Greek,9,72,No Semifinal,N/A,N/A
In a Woman's Heart,Miriam Christine,Malta,1996,English,10,68,No Semifinal,N/A,N/A
Weil's dr guat got,George Nussbaumer,Austria,1996,Vorarlbergish,10,68,No Semifinal,N/A,N/A
Beşinci Mevsim,Şebnem Paker,Turkey,1996,Turkish,12,57,No Semifinal,N/A,N/A
Sjúbídú,Anna Mjöll,Iceland,1996,Icelandic,13,51,No Semifinal,N/A,N/A
Emis forame to himona anixiatika (Εμείς φοράμε το χειμώνα ανοιξιάτικα),Marianna Efstratiou,Greece,1996,Greek,14,36,No Semifinal,N/A,N/A
Chcę znać swój grzech...,Kasia Kowalska,Poland,1996,Polish,15,31,No Semifinal,N/A,N/A
Liefde is een kaartspel,Lisa del Bo,Belgium,1996,Dutch,16,22,No Semifinal,N/A,N/A
Mon cœur l'aime,Kathy Leander,Switzerland,1996,French,16,22,No Semifinal,N/A,N/A
Kým nás máš,Marcel Palonder,Slovakia,1996,Slovak,18,19,No Semifinal,N/A,N/A
Diwanit Bugale,Dan Ar Braz & l'Héritage des Celtes,France,1996,Breton,19,18,No Semifinal,N/A,N/A
"¡Ay, qué deseo!",Antonio Carbonell,Spain,1996,Spanish,20,17,No Semifinal,N/A,N/A
Dan najlepših sanj,Regina,Slovenia,1996,Slovene,21,16,No Semifinal,N/A,N/A
Za našu ljubav,Amila Glamočak,Bosnia and Herzegovina,1996,Bosnian,22,13,No Semifinal,N/A,N/A
Niin kaunis on taivas,Jasmine,Finland,1996,Finnish,23,9,No Semifinal,N/A,N/A
Love Shine a Light,Katrina and the Waves,United Kingdom,1997,English,1,227,No Semifinal,N/A,N/A
Mysterious Woman,Marc Roberts,Ireland,1997,English,2,157,No Semifinal,N/A,N/A
Dinle,Şebnem Paker & Grup Ethnic,Turkey,1997,Turkish,3,121,No Semifinal,N/A,N/A
Fiumi di parole,Jalisse,Italy,1997,Italian,4,114,No Semifinal,N/A,N/A
Mana mou (Μάνα μου),Hara & Andreas Konstantinou,Cyprus,1997,Greek,5,98,No Semifinal,N/A,N/A
Sin rencor,Marcos Llunas,Spain,1997,Spanish,6,96,No Semifinal,N/A,N/A
Sentiments songes,Fanny,France,1997,French,7,95,No Semifinal,N/A,N/A
Keelatud maa,Maarja-Liis Ilus,Estonia,1997,Estonian,8,82,No Semifinal,N/A,N/A
Let Me Fly,Debbie Scerri,Malta,1997,English,9,66,No Semifinal,N/A,N/A
Zbudi se,Tanja Ribič,Slovenia,1997,Slovene,10,60,No Semifinal,N/A,N/A
Ale jestem,Anna Maria Jopek,Poland,1997,Polish,11,54,No Semifinal,N/A,N/A
Horepse (Χόρεψε),Marianna Zorba,Greece,1997,Greek,12,39,No Semifinal,N/A,N/A
"Miért kell, hogy elmenj?",V.I.P.,Hungary,1997,Hungarian,12,39,No Semifinal,N/A,N/A
Bara hon älskar mig,Blond,Sweden,1997,Swedish,14,36,No Semifinal,N/A,N/A
Primadonna (Примадонна),Alla Pugacheva,Russia,1997,Russian,15,33,No Semifinal,N/A,N/A
Stemmen i mit liv,Kølig Kaj,Denmark,1997,Danish,16,25,No Semifinal,N/A,N/A
Probudi me,E.N.I.,Croatia,1997,Croatian,17,24,No Semifinal,N/A,N/A
Goodbye,Alma Čardžić,Bosnia and Herzegovina,1997,Bosnian,18,22,No Semifinal,N/A,N/A
Zeit,Bianca Shomburg,Germany,1997,German,18,22,No Semifinal,N/A,N/A
Minn hinsti dans,Paul Oscar,Iceland,1997,Icelandic,20,18,No Semifinal,N/A,N/A
One Step,Bettina Soriat,Austria,1997,German,21,12,No Semifinal,N/A,N/A
Dentro di me,Barbara Berta,Switzerland,1997,Italian,22,5,No Semifinal,N/A,N/A
Niemand heeft nog tijd,Mrs. Einstein,Netherlands,1997,Dutch,22,5,No Semifinal,N/A,N/A
Antes do adeus,Célia Lawson,Portugal,1997,Portuguese,24,0,No Semifinal,N/A,N/A
San Francisco,Tor Endresen,Norway,1997,Norwegian,24,0,No Semifinal,N/A,N/A
Diva (דיווה),Dana International,Israel,1998,Hebrew,1,172,No Semifinal,N/A,N/A
Where Are You?,Imaani,United Kingdom,1998,English,2,166,No Semifinal,N/A,N/A
The One That I Love,Chiara,Malta,1998,English,3,165,No Semifinal,N/A,N/A
Hemel en aarde,Edsilia,Netherlands,1998,Dutch,4,150,No Semifinal,N/A,N/A
Neka mi ne svane,Danijela,Croatia,1998,Croatian,5,131,No Semifinal,N/A,N/A
Dis oui,Mélanie Cohl,Belgium,1998,French,6,122,No Semifinal,N/A,N/A
Guildo hat euch lieb!,Guildo Horn,Germany,1998,German,7,86,No Semifinal,N/A,N/A
Alltid sommer,Lars Fredriksen,Norway,1998,Norwegian,8,79,No Semifinal,N/A,N/A
Is Always Over Now?,Dawn Martin,Ireland,1998,English,9,64,No Semifinal,N/A,N/A
Kärleken är,Jill Johnson,Sweden,1998,Swedish,10,53,No Semifinal,N/A,N/A
Genesis (Γένεσις),Michael Hajiyanni,Cyprus,1998,Greek,11,37,No Semifinal,N/A,N/A
Mere lapsed,Koit Toome,Estonia,1998,Estonian,12,36,No Semifinal,N/A,N/A
Se eu te pudesse abraçar,Alma Lusa,Portugal,1998,Portuguese,12,36,No Semifinal,N/A,N/A
Unutamazsın,Tüzmen,Turkey,1998,Turkish,14,25,No Semifinal,N/A,N/A
Aava,Edea,Finland,1998,Finnish,15,22,No Semifinal,N/A,N/A
¿Qué voy a hacer sin ti?,Mikel Herzog,Spain,1998,Spanish,16,21,No Semifinal,N/A,N/A
To takie proste,Sixteen,Poland,1998,Polish,17,19,No Semifinal,N/A,N/A
Naj bogovi slišijo,Vili Resnik,Slovenia,1998,Slovene,18,17,No Semifinal,N/A,N/A
"Ne zori, zoro (Не зори, зоро)",Vlado Janevski,North Macedonia,1998,Macedonian,19,16,No Semifinal,N/A,N/A
Mia Krifi Evesthisia (Μια κρυφή ευαισθησία),Thalassa,Greece,1998,Greek,20,12,No Semifinal,N/A,N/A
Modlitba,Katarína Hasprová,Slovakia,1998,Slovak,21,8,No Semifinal,N/A,N/A
Eu cred,Mălina Olinescu,Romania,1998,Romanian,22,6,No Semifinal,N/A,N/A
A holnap már nem lesz szomorú,Charlie,Hungary,1998,Hungarian,23,4,No Semifinal,N/A,N/A
Où aller,Marie Line,France,1998,French,24,3,No Semifinal,N/A,N/A
Lass ihn,Gunvor,Switzerland,1998,German,25,0,No Semifinal,N/A,N/A
Take Me to Your Heaven,Charlotte Nilsson,Sweden,1999,English,1,163,No Semifinal,N/A,N/A
All Out of Luck,Selma,Iceland,1999,English,2,146,No Semifinal,N/A,N/A
Reise nach Jerusalem – Kudüs'e seyahat,Sürpriz,Germany,1999,"German, Turkish, English, Hebrew",3,140,No Semifinal,N/A,N/A
Marija Magdalena,Doris Dragović,Croatia,1999,Croatian,4,118,No Semifinal,N/A,N/A
Yom Huledet (Happy Birthday) (יום הולדת),Eden,Israel,1999,"English, Hebrew",5,93,No Semifinal,N/A,N/A
Diamond of Night,Evelin Samuel & Camille,Estonia,1999,English,6,90,No Semifinal,N/A,N/A
Putnici,Dino & Béatrice,Bosnia and Herzegovina,1999,"Bosnian, French",7,86,No Semifinal,N/A,N/A
One Good Reason,Marlayne,Netherlands,1999,English,8,71,No Semifinal,N/A,N/A
This Time I Mean It,Trine Jepsen & Michael Teschl,Denmark,1999,English,8,71,No Semifinal,N/A,N/A
Reflection,Bobbie Singer,Austria,1999,English,10,65,No Semifinal,N/A,N/A
For a Thousand Years,Darja Švajger,Slovenia,1999,English,11,50,No Semifinal,N/A,N/A
Like the Wind,Vanessa Chinitor,Belgium,1999,English,12,38,No Semifinal,N/A,N/A
Say It Again,Precious,United Kingdom,1999,English,12,38,No Semifinal,N/A,N/A
Living My Life Without You,Stig Van Eijk,Norway,1999,English,14,35,No Semifinal,N/A,N/A
Believe 'n Peace,Times Three,Malta,1999,English,15,32,No Semifinal,N/A,N/A
Dön Artık,Tuğba Önal & Grup Mistik,Turkey,1999,Turkish,16,21,No Semifinal,N/A,N/A
When You Need Me,The Mullans,Ireland,1999,English,17,18,No Semifinal,N/A,N/A
Przytul mnie mocno,Mietek Szcześniak,Poland,1999,Polish,18,17,No Semifinal,N/A,N/A
Je veux donner ma voix,Nayah,France,1999,French,19,14,No Semifinal,N/A,N/A
Strazdas,Aistė,Lithuania,1999,Samogitian,20,13,No Semifinal,N/A,N/A
Como tudo começou,Rui Bandeira,Portugal,1999,Portuguese,21,12,No Semifinal,N/A,N/A
Tha'nai Erotas (Θα'ναι έρωτας),Marlain,Cyprus,1999,Greek,22,2,No Semifinal,N/A,N/A
No quiero escuchar,Lydia,Spain,1999,Spanish,23,1,No Semifinal,N/A,N/A
Fly on the Wings of Love,Olsen Brothers,Denmark,2000,English,1,195,No Semifinal,N/A,N/A
Solo,Alsou,Russia,2000,English,2,155,No Semifinal,N/A,N/A
My Star,Brainstorm,Latvia,2000,English,3,136,No Semifinal,N/A,N/A
Once in a Lifetime,Ines,Estonia,2000,English,4,98,No Semifinal,N/A,N/A
Wadde hadde dudde da?,Stefan Raab,Germany,2000,"German, English",5,96,No Semifinal,N/A,N/A
Millennium of Love,Eamonn Toal,Ireland,2000,English,6,92,No Semifinal,N/A,N/A
When Spirits Are Calling My Name,Roger Pontare,Sweden,2000,English,7,88,No Semifinal,N/A,N/A
Desire,Claudette Pace,Malta,2000,"English, Maltese",8,73,No Semifinal,N/A,N/A
Kad zaspu anđeli,Goran Karan,Croatia,2000,Croatian,9,70,No Semifinal,N/A,N/A
Yorgunum Anla,Pınar Ayhan & The SOS,Turkey,2000,"Turkish, English",10,59,No Semifinal,N/A,N/A
My Heart Goes Boom,Charmed,Norway,2000,English,11,57,No Semifinal,N/A,N/A
Tell Me!,August & Telma,Iceland,2000,English,12,45,No Semifinal,N/A,N/A
No Goodbyes,Linda Wagenmakers,Netherlands,2000,English,13,40,No Semifinal,N/A,N/A
All to You,The Rounder Girls,Austria,2000,English,14,34,No Semifinal,N/A,N/A
100% te ljubam (100% те љубам),XXL,North Macedonia,2000,"Macedonian, English",15,29,No Semifinal,N/A,N/A
Don't Play That Song Again,Nicki French,United Kingdom,2000,English,16,28,No Semifinal,N/A,N/A
The Moon,Taxi,Romania,2000,English,17,25,No Semifinal,N/A,N/A
